Component_ID,Temperature,Voltage,Current,Power,Time
C0056,69.149,5.014,0.2009,1.007,10
C0056,69.857,5.017,0.2021,1.0141,20
C0056,69.042,5.027,0.1997,1.0039,30
C0056,70.373,5.04,0.2003,1.0096,40
C0056,68.711,5.016,0.2084,1.0454,50
C0056,71.405,5.007,0.206,1.0314,60
C0056,69.95,5.018,0.2146,1.0768,70
C0056,69.328,5.022,0.2059,1.0339,80
C0056,70.881,5.02,0.2052,1.0303,90
C0056,69.995,5.022,0.2026,1.0176,100
C0057,72.047,4.967,0.2041,1.0137,10
C0057,70.944,4.956,0.2025,1.0034,20
C0057,71.378,4.967,0.1902,0.9448,30
C0057,73.443,4.962,0.2047,1.0156,40
C0057,71.611,4.969,0.2059,1.0229,50
C0057,72.513,4.963,0.1994,0.9893,60
C0057,72.415,4.988,0.2007,1.0009,70
C0057,72.987,4.962,0.2037,1.0108,80
C0057,72.474,4.961,0.1969,0.9768,90
C0057,72.5,4.96,0.1963,0.9736,100
C0058,71.409,5.034,0.2015,1.0145,10
C0058,71.233,5.037,0.2071,1.0432,20
C0058,71.687,5.036,0.2055,1.0349,30
C0058,71.616,5.028,0.2006,1.0086,40
C0058,70.876,5.021,0.2014,1.0113,50
C0058,70.887,5.021,0.2029,1.0186,60
C0058,69.838,5.031,0.2041,1.0268,70
C0058,70.484,5.035,0.2079,1.0466,80
C0058,70.01,5.021,0.201,1.0094,90
C0058,70.41,5.037,0.2033,1.0241,100
C0059,69.703,4.979,0.2054,1.023,10
C0059,69.176,4.999,0.2007,1.0032,20
C0059,70.291,5.018,0.1955,0.9808,30
C0059,69.299,4.998,0.1962,0.9806,40
C0059,70.158,5.004,0.2029,1.0152,50
C0059,69.831,5.01,0.196,0.9819,60
